STATION_SEQ,STATION_ID,EASTING,NORTHING,WATER_ELEV,MEASUREMENT_DATE,MYEAR,REFERENCE_ELEVATION_CODE,REFERENCE_ELEVATION,DEPTH_TO_WATER
1013116,FSB122C,436350.93,3680993.49,201.72999999999999,1998-06-29,1998,S,218.19999999999999,16.469999999999999
1013116,FSB122C,436350.93,3680993.49,194.79999999999998,2000-08-01,2000,S,218.19999999999999,23.399999999999999
1013116,FSB122C,436350.93,3680993.49,195.03999999999999,2001-04-26,2001,S,218.19999999999999,23.16
1013116,FSB122C,436350.93,3680993.49,200.64999999999998,1992-04-27,1992,S,218.19999999999999,17.550000000000001
1013116,FSB122C,436350.93,3680993.49,199.69999999999999,1991-02-06,1991,S,218.19999999999999,18.5
1013116,FSB122C,436350.93,3680993.49,198.98999999999998,1994-11-16,1994,S,218.19999999999999,19.210000000000001
1013116,FSB122C,436350.93,3680993.49,198.76999999999998,1994-12-21,1994,S,218.19999999999999,19.43
1013116,FSB122C,436350.93,3680993.49,199.69999999999999,1995-11-14,1995,S,218.19999999999999,18.5
1013116,FSB122C,436350.93,3680993.49,200.58999999999997,1995-04-04,1995,S,218.19999999999999,17.609999999999999
1013116,FSB122C,436350.93,3680993.49,201.31999999999999,1991-12-09,1991,S,218.19999999999999,16.879999999999999
1013116,FSB122C,436350.93,3680993.49,200.69999999999999,1993-08-22,1993,S,218.19999999999999,17.5
1013116,FSB122C,436350.93,3680993.49,202.13999999999999,1993-03-27,1993,S,218.19999999999999,16.059999999999999
1013116,FSB122C,436350.93,3680993.49,200.01999999999998,1992-07-16,1992,S,218.19999999999999,18.18
1013116,FSB122C,436350.93,3680993.49,201.25,1993-02-24,1993,S,218.19999999999999,16.949999999999999
1013116,FSB122C,436350.93,3680993.49,200.19999999999999,1995-07-20,1995,S,218.19999999999999,18
1013116,FSB122C,436350.93,3680993.49,200,1994-02-16,1994,S,218.19999999999999,18.199999999999999
1013116,FSB122C,436350.93,3680993.49,199.98999999999998,1993-12-22,1993,S,218.19999999999999,18.210000000000001
1013116,FSB122C,436350.93,3680993.49,192.69,2002-07-15,2002,S,218.19999999999999,25.510000000000002
1013116,FSB122C,436350.93,3680993.49,197.73999999999998,2005-04-04,2005,S,218.19999999999999,20.460000000000001
1013116,FSB122C,436350.93,3680993.49,197,2005-02-08,2005,S,218.19999999999999,21.199999999999999
1013116,FSB122C,436350.93,3680993.49,196.91999999999999,2005-01-03,2005,S,218.19999999999999,21.280000000000001
1013116,FSB122C,436350.93,3680993.49,197.44999999999999,2005-05-04,2005,S,218.19999999999999,20.75
1013116,FSB122C,436350.93,3680993.49,164.97,2010-08-04,2010,S,218.97,54
1013116,FSB122C,436350.93,3680993.49,196.59999999999999,2003-07-18,2003,S,218.19999999999999,21.600000000000001
1013116,FSB122C,436350.93,3680993.49,197.94999999999999,2005-07-01,2005,S,218.19999999999999,20.25
1013116,FSB122C,436350.93,3680993.49,196.19999999999999,2007-04-26,2007,S,218.19999999999999,22
